1,ISTP-A,Virtuoso,[35, 47, 58, 49, 79]
2,INFP-A,Mediator,[35, 51, 49, 44, 65]
3,ISTP-A,Virtuoso,[44, 48, 58, 49, 74]
4,ISTP-A,Virtuoso,[37, 39, 51, 40, 69]
5,ISTP-A,Virtuoso,[43, 43, 53, 44, 76]
6,ISFP-A,Adventurer,[40, 46, 43, 49, 60]
7,INTJ-A,Architect,[49, 54, 58, 53, 68]
8,ISFJ-A,Defender,[31, 39, 49, 53, 67]
9,ENTJ-A,Commander,[51, 53, 63, 53, 68]
10,ENFJ-A,Protagonist,[56, 60, 49, 61, 68]
11,ISFJ-A,Defender,[40, 38, 49, 53, 67]
12,ISFP-A,Adventurer,[35, 35, 49, 40, 78]
13,ISFP-A,Adventurer,[42, 48, 49, 43, 72]
14,ISFP-A,Adventurer,[39, 48, 49, 49, 65]
15,INTP-A,Logician,[37, 52, 58, 40, 68]
16,INFP-A,Mediator,[42, 53, 49, 36, 69]
17,ISTP-A,Virtuoso,[44, 47, 54, 47, 67]
18,INFP-A,Mediator,[40, 51, 44, 46, 71]
19,ISFJ-A,Defender,[40, 48, 44, 57, 75]
20,INFP-A,Mediator,[32, 51, 46, 40, 64]
21,INTP-A,Logician,[40, 54, 56, 49, 76]
22,INFP-A,Mediator,[35, 59, 46, 40, 67]
23,INFJ-A,Advocate,[33, 59, 43, 56, 64]
24,ISTJ-A,Logistician,[36, 43, 51, 51, 68]
25,INFP-A,Mediator,[42, 51, 49, 46, 81]
26,ISTJ-A,Logistician,[49, 41, 54, 58, 78]
27,ISTP-A,Virtuoso,[40, 48, 53, 44, 74]
28,INFP-A,Mediator,[26, 57, 49, 47, 74]
29,ISTP-A,Virtuoso,[39, 48, 56, 46, 67]
30,ISFP-A,Adventurer,[36, 42, 40, 49, 71]
31,ISTP-A,Virtuoso,[43, 46, 51, 46, 65]
32,INTP-A,Logician,[39, 52, 53, 42, 71]
33,ISFJ-A,Defender,[35, 48, 49, 51, 69]
34,ISTJ-A,Logistician,[42, 45, 58, 51, 78]
35,INTP-A,Logician,[49, 52, 51, 43, 75]
36,INTP-A,Logician,[43, 53, 51, 47, 75]
37,ISFP-A,Adventurer,[39, 43, 43, 47, 65]
38,ISTP-A,Virtuoso,[39, 47, 53, 44, 76]
39,INTP-A,Logician,[36, 51, 51, 49, 65]
40,INTP-A,Logician,[40, 60, 51, 44, 74]
41,INTP-A,Logician,[44, 54, 57, 49, 74]
42,ISFP-A,Adventurer,[35, 46, 43, 44, 82]
43,ISTJ-A,Logistician,[36, 46, 58, 54, 75]
44,INTJ-A,Architect,[43, 52, 54, 53, 65]
45,ISTJ-A,Logistician,[33, 46, 51, 51, 71]
46,INTJ-A,Architect,[37, 56, 61, 53, 68]
47,INFP-A,Mediator,[42, 59, 49, 46, 76]
48,ISTJ-A,Logistician,[46, 42, 58, 54, 74]
49,INTP-A,Logician,[44, 53, 61, 47, 74]
50,INTP-A,Logician,[49, 53, 51, 43, 68]
51,INTP-A,Logician,[36, 52, 57, 49, 60]
52,ISFP-A,Adventurer,[36, 43, 42, 49, 76]
53,ISTJ-A,Logistician,[44, 41, 53, 53, 69]
54,INTP-A,Logician,[26, 52, 53, 43, 67]
55,ISTP-A,Virtuoso,[44, 48, 60, 47, 79]
56,INFP-A,Mediator,[33, 54, 47, 49, 71]
57,INTP-A,Logician,[47, 54, 51, 47, 72]
58,INTP-A,Logician,[39, 53, 53, 44, 78]
59,ISFP-A,Adventurer,[39, 43, 47, 46, 75]
60,INTP-A,Logician,[39, 57, 53, 49, 67]
61,INTP-A,Logician,[40, 56, 53, 49, 74]
62,INFJ-A,Advocate,[37, 56, 49, 58, 72]
63,ISTP-A,Virtuoso,[29, 45, 58, 40, 82]
64,ESTP-A,Entrepreneur,[54, 46, 53, 49, 78]
65,INFJ-A,Advocate,[36, 52, 49, 53, 74]
66,ISTP-A,Virtuoso,[33, 48, 57, 42, 78]
67,ISTP-A,Virtuoso,[49, 43, 53, 44, 68]
68,INTP-A,Logician,[43, 59, 56, 47, 65]
69,INFJ-A,Advocate,[42, 57, 49, 56, 71]
70,ISTP-A,Virtuoso,[40, 47, 53, 49, 74]
71,ISFP-A,Adventurer,[39, 48, 42, 43, 71]
72,ISTJ-A,Logistician,[36, 42, 57, 56, 82]
73,INTP-A,Logician,[35, 56, 54, 49, 75]
74,ISTJ-A,Logistician,[37, 42, 61, 54, 78]
75,INTJ-A,Architect,[35, 59, 67, 53, 79]
76,ISTJ-A,Logistician,[40, 43, 57, 54, 76]
77,ISTP-A,Virtuoso,[43, 46, 61, 46, 76]
78,INTP-A,Logician,[37, 56, 56, 39, 64]
79,INTJ-A,Architect,[36, 52, 54, 56, 67]
80,INTP-A,Logician,[42, 56, 54, 43, 75]
81,INTP-A,Logician,[47, 56, 51, 43, 69]
82,INTP-A,Logician,[40, 53, 54, 44, 69]
83,ISTP-A,Virtuoso,[36, 41, 53, 43, 74]
84,INFJ-A,Advocate,[32, 51, 49, 51, 64]
85,ISTJ-A,Logistician,[33, 43, 61, 51, 74]
86,ISFP-A,Adventurer,[37, 43, 44, 46, 69]
87,ISTP-A,Virtuoso,[42, 41, 65, 47, 69]
88,ISFJ-A,Defender,[46, 47, 49, 51, 71]
89,INFP-A,Mediator,[39, 52, 49, 42, 76]
90,INTP-A,Logician,[40, 51, 54, 36, 78]
91,INFP-A,Mediator,[25, 51, 39, 43, 68]
92,INTJ-A,Architect,[42, 53, 53, 51, 54]
93,ISTP-A,Virtuoso,[46, 41, 68, 49, 67]
94,ISTP-A,Virtuoso,[40, 48, 54, 49, 67]
95,ISFP-A,Adventurer,[43, 47, 49, 43, 71]
96,ISTP-A,Virtuoso,[36, 48, 58, 37, 78]
97,ISFJ-A,Defender,[49, 42, 49, 61, 71]
98,INTP-A,Logician,[39, 51, 56, 47, 72]
99,ISFJ-A,Defender,[39, 47, 47, 61, 68]
100,INTJ-A,Architect,[36, 63, 56, 53, 78]
