num_of_cycles,E,I,N,S,F,T,J,P,MBTI
1,0,21,26,1,3,20,8,14,INTP
2,0,21,26,1,1,22,7,15,INTP
3,0,21,26,1,2,21,7,15,INTP
4,0,21,26,1,1,22,7,15,INTP
5,0,21,26,1,3,20,7,15,INTP
6,0,21,26,1,3,20,7,15,INTP
7,0,21,26,1,1,22,7,15,INTP
8,0,21,26,1,1,22,7,15,INTP
9,0,21,26,1,2,21,7,15,INTP
10,0,21,26,1,2,21,7,15,INTP
11,0,21,26,1,1,22,8,14,INTP
12,0,21,26,1,1,22,7,15,INTP
13,0,21,26,1,2,21,7,15,INTP
14,0,21,26,1,2,21,7,15,INTP
15,0,21,26,1,3,20,7,15,INTP
16,0,21,26,1,2,21,7,15,INTP
17,0,21,26,1,3,20,8,14,INTP
18,0,21,26,1,3,20,7,15,INTP
19,0,21,26,1,3,20,7,15,INTP
20,0,21,26,1,2,21,8,14,INTP
21,0,21,26,1,2,21,7,15,INTP
22,0,21,26,1,3,20,8,14,INTP
23,0,21,26,1,2,21,8,14,INTP
24,0,21,26,1,2,21,7,15,INTP
25,0,21,26,1,2,21,7,15,INTP
26,0,21,26,1,2,21,7,15,INTP
27,0,21,26,1,3,20,7,15,INTP
28,0,21,26,1,1,22,7,15,INTP
29,0,21,26,1,1,22,8,14,INTP
30,0,21,26,1,3,20,8,14,INTP
31,0,21,26,1,3,20,7,15,INTP
32,0,21,26,1,3,20,7,15,INTP
33,0,21,26,1,1,22,7,15,INTP
34,0,21,26,1,3,20,7,15,INTP
35,0,21,26,1,1,22,7,15,INTP
36,0,21,26,1,2,21,7,15,INTP
37,0,21,26,1,1,22,7,15,INTP
38,0,21,26,1,2,21,8,14,INTP
39,0,21,26,1,2,21,7,15,INTP
40,0,21,26,1,2,21,7,15,INTP
41,0,21,26,1,3,20,8,14,INTP
42,0,21,26,1,3,20,7,15,INTP
43,0,21,26,1,3,20,7,15,INTP
44,0,21,26,1,3,20,7,15,INTP
45,0,21,26,1,2,21,7,15,INTP
46,0,21,26,1,2,21,7,15,INTP
47,0,21,26,1,3,20,7,15,INTP
48,0,21,26,1,3,20,7,15,INTP
49,0,21,26,1,2,21,7,15,INTP
50,0,21,26,1,2,21,7,15,INTP
51,0,21,26,1,2,21,7,15,INTP
52,0,21,26,1,3,20,7,15,INTP
53,0,21,26,1,2,21,7,15,INTP
54,0,21,26,1,1,22,7,15,INTP
55,0,21,26,1,2,21,7,15,INTP
56,0,21,26,1,2,21,7,15,INTP
57,0,21,26,1,3,20,7,15,INTP
58,0,21,26,1,1,22,7,15,INTP
59,0,21,26,1,2,21,7,15,INTP
60,0,21,26,1,2,21,7,15,INTP
61,0,21,26,1,1,22,7,15,INTP
62,0,21,26,1,2,21,7,15,INTP
63,0,21,26,1,2,21,7,15,INTP
64,0,21,26,1,3,20,7,15,INTP
65,0,21,26,1,2,21,7,15,INTP
66,0,21,25,2,3,20,7,15,INTP
67,0,21,26,1,1,22,8,14,INTP
68,0,21,26,1,1,22,7,15,INTP
69,0,21,26,1,2,21,7,15,INTP
70,0,21,25,2,2,21,7,15,INTP
71,0,21,26,1,2,21,7,15,INTP
72,0,21,26,1,1,22,7,15,INTP
73,0,21,26,1,2,21,7,15,INTP
74,0,21,26,1,2,21,7,15,INTP
75,0,21,26,1,3,20,7,15,INTP
76,0,21,26,1,2,21,7,15,INTP
77,0,21,26,1,1,22,8,14,INTP
78,0,21,26,1,2,21,7,15,INTP
79,0,21,26,1,2,21,7,15,INTP
80,0,21,25,2,2,21,7,15,INTP
81,0,21,26,1,3,20,7,15,INTP
82,0,21,25,2,2,21,7,15,INTP
83,0,21,26,1,2,21,8,14,INTP
84,0,21,26,1,3,20,7,15,INTP
85,0,21,26,1,2,21,7,15,INTP
86,0,21,26,1,3,20,7,15,INTP
87,0,21,26,1,2,21,7,15,INTP
88,0,21,25,2,2,21,7,15,INTP
89,0,21,26,1,3,20,7,15,INTP
90,0,21,26,1,1,22,8,14,INTP
91,0,21,26,1,3,20,7,15,INTP
92,0,21,26,1,2,21,7,15,INTP
93,0,21,26,1,3,20,8,14,INTP
94,0,21,26,1,2,21,7,15,INTP
95,0,21,26,1,3,20,8,14,INTP
96,0,21,26,1,2,21,7,15,INTP
97,0,21,26,1,2,21,7,15,INTP
98,0,21,26,1,2,21,7,15,INTP
99,0,21,26,1,2,21,7,15,INTP
100,0,21,26,1,3,20,7,15,INTP
,0,2100,2595,105,213,2087,716,1484,
